# t = +6.6921500313e-01
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   +3.7092174685e-01   
-4.9609375000e-01   +7.2283907571e-01   
-4.9414062500e-01   +1.0561745875e+00   
-4.9218750000e-01   +1.3713667307e+00   
-4.9023437500e-01   +1.6688677184e+00   
-4.8828125000e-01   +1.9491415514e+00   
-4.8632812500e-01   +2.2126621436e+00   
-4.8437500000e-01   +2.4599115503e+00   
-4.8242187500e-01   +2.6913782932e+00   
-4.8046875000e-01   +2.9075557827e+00   
-4.7851562500e-01   +3.1089408323e+00   
-4.7656250000e-01   +3.2960322645e+00   
-4.7460937500e-01   +3.4693296035e+00   
-4.7265625000e-01   +3.6293318544e+00   
-4.7070312500e-01   +3.7765363628e+00   
-4.6875000000e-01   +3.9114377557e+00   
-4.6679687500e-01   +4.0345269578e+00   
-4.6484375000e-01   +4.1462902824e+00   
-4.6289062500e-01   +4.2472085935e+00   
-4.6093750000e-01   +4.3377565355e+00   
-4.5898437500e-01   +4.4184018300e+00   
-4.5703125000e-01   +4.4896046337e+00   
-4.5507812500e-01   +4.5518169584e+00   
-4.5312500000e-01   +4.6054821477e+00   
-4.5117187500e-01   +4.6510344083e+00   
-4.4921875000e-01   +4.6888983954e+00   
-4.4726562500e-01   +4.7194888460e+00   
-4.4531250000e-01   +4.7432102617e+00   
-4.4335937500e-01   +4.7604566351e+00   
-4.4140625000e-01   +4.7716112200e+00   
-4.3945312500e-01   +4.7770463414e+00   
-4.3750000000e-01   +4.7771232439e+00   
-4.3554687500e-01   +4.7721919765e+00   
-4.3359375000e-01   +4.7625913107e+00   
-4.3164062500e-01   +4.7486486913e+00   
-4.2968750000e-01   +4.7306802158e+00   
-4.2773437500e-01   +4.7089906431e+00   
-4.2578125000e-01   +4.6838734276e+00   
-4.2382812500e-01   +4.6556107770e+00   
-4.2187500000e-01   +4.6244737341e+00   
-4.1992187500e-01   +4.5907222775e+00   
-4.1796875000e-01   +4.5546054433e+00   
-4.1601562500e-01   +4.5163614633e+00   
-4.1406250000e-01   +4.4762179196e+00   
-4.1210937500e-01   +4.4343919142e+00   
-4.1015625000e-01   +4.3910902514e+00   
-4.0820312500e-01   +4.3465096330e+00   
-4.0625000000e-01   +4.3008368636e+00   
-4.0429687500e-01   +4.2542490654e+00   
-4.0234375000e-01   +4.2069139025e+00   
-4.0039062500e-01   +4.1589898108e+00   
-3.9843750000e-01   +4.1106262362e+00   
-3.9648437500e-01   +4.0619638763e+00   
-3.9453125000e-01   +4.0131349280e+00   
-3.9257812500e-01   +3.9642633379e+00   
-3.9062500000e-01   +3.9154650553e+00   
-3.8867187500e-01   +3.8668482877e+00   
-3.8671875000e-01   +3.8185137573e+00   
-3.8476562500e-01   +3.7705549579e+00   
-3.8281250000e-01   +3.7230584120e+00   
-3.8085937500e-01   +3.6761039266e+00   
-3.7890625000e-01   +3.6297648490e+00   
-3.7695312500e-01   +3.5841083192e+00   
-3.7500000000e-01   +3.5391955216e+00   
-3.7304687500e-01   +3.4950819330e+00   
-3.7109375000e-01   +3.4518175682e+00   
-3.6914062500e-01   +3.4094472216e+00   
-3.6718750000e-01   +3.3680107054e+00   
-3.6523437500e-01   +3.3275430834e+00   
-3.6328125000e-01   +3.2880749012e+00   
-3.6132812500e-01   +3.2496324107e+00   
-3.5937500000e-01   +3.2122377903e+00   
-3.5742187500e-01   +3.1759093607e+00   
-3.5546875000e-01   +3.1406617940e+00   
-3.5351562500e-01   +3.1065063191e+00   
-3.5156250000e-01   +3.0734509207e+00   
-3.4960937500e-01   +3.0415005327e+00   
-3.4765625000e-01   +3.0106572263e+00   
-3.4570312500e-01   +2.9809203925e+00   
-3.4375000000e-01   +2.9522869182e+00   
-3.4179687500e-01   +2.9247513572e+00   
-3.3984375000e-01   +2.8983060953e+00   
-3.3789062500e-01   +2.8729415087e+00   
-3.3593750000e-01   +2.8486461180e+00   
-3.3398437500e-01   +2.8254067355e+00   
-3.3203125000e-01   +2.8032086069e+00   
-3.3007812500e-01   +2.7820355476e+00   
-3.2812500000e-01   +2.7618700730e+00   
-3.2617187500e-01   +2.7426935239e+00   
-3.2421875000e-01   +2.7244861853e+00   
-3.2226562500e-01   +2.7072274009e+00   
-3.2031250000e-01   +2.6908956820e+00   
-3.1835937500e-01   +2.6754688107e+00   
-3.1640625000e-01   +2.6609239385e+00   
-3.1445312500e-01   +2.6472376799e+00   
-3.1250000000e-01   +2.6343862007e+00   
-3.1054687500e-01   +2.6223453021e+00   
-3.0859375000e-01   +2.6110904998e+00   
-3.0664062500e-01   +2.6005970983e+00   
-3.0468750000e-01   +2.5908402617e+00   
-3.0273437500e-01   +2.5817950793e+00   
-3.0078125000e-01   +2.5734366274e+00   
-2.9882812500e-01   +2.5657400274e+00   
-2.9687500000e-01   +2.5586804994e+00   
-2.9492187500e-01   +2.5522334126e+00   
-2.9296875000e-01   +2.5463743316e+00   
-2.9101562500e-01   +2.5410790599e+00   
-2.8906250000e-01   +2.5363236791e+00   
-2.8710937500e-01   +2.5320845856e+00   
-2.8515625000e-01   +2.5283385240e+00   
