# t = +3.0114675141e+00
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   +3.3226057150e-01   
-4.9609375000e-01   +6.6174893935e-01   
-4.9414062500e-01   +9.8787235976e-01   
-4.9218750000e-01   +1.3100851438e+00   
-4.9023437500e-01   +1.6278868272e+00   
-4.8828125000e-01   +1.9408203553e+00   
-4.8632812500e-01   +2.2484702861e+00   
-4.8437500000e-01   +2.5504610138e+00   
-4.8242187500e-01   +2.8464550170e+00   
-4.8046875000e-01   +3.1361511333e+00   
-4.7851562500e-01   +3.4192828620e+00   
-4.7656250000e-01   +3.6956166986e+00   
-4.7460937500e-01   +3.9649505016e+00   
-4.7265625000e-01   +4.2271118935e+00   
-4.7070312500e-01   +4.4819566981e+00   
-4.6875000000e-01   +4.7293674151e+00   
-4.6679687500e-01   +4.9692517327e+00   
-4.6484375000e-01   +5.2015410797e+00   
-4.6289062500e-01   +5.4261892177e+00   
-4.6093750000e-01   +5.6431708739e+00   
-4.5898437500e-01   +5.8524804156e+00   
-4.5703125000e-01   +6.0541305658e+00   
-4.5507812500e-01   +6.2481511614e+00   
-4.5312500000e-01   +6.4345879523e+00   
-4.5117187500e-01   +6.6135014444e+00   
-4.4921875000e-01   +6.7849657826e+00   
-4.4726562500e-01   +6.9490676772e+00   
-4.4531250000e-01   +7.1059053711e+00   
-4.4335937500e-01   +7.2555876490e+00   
-4.4140625000e-01   +7.3982328861e+00   
-4.3945312500e-01   +7.5339681391e+00   
-4.3750000000e-01   +7.6629282752e+00   
-4.3554687500e-01   +7.7852551418e+00   
-4.3359375000e-01   +7.9010967739e+00   
-4.3164062500e-01   +8.0106066398e+00   
-4.2968750000e-01   +8.1139429238e+00   
-4.2773437500e-01   +8.2112678454e+00   
-4.2578125000e-01   +8.3027470141e+00   
-4.2382812500e-01   +8.3885488186e+00   
-4.2187500000e-01   +8.4688438504e+00   
-4.1992187500e-01   +8.5438043598e+00   
-4.1796875000e-01   +8.6136037444e+00   
-4.1601562500e-01   +8.6784160684e+00   
-4.1406250000e-01   +8.7384156124e+00   
-4.1210937500e-01   +8.7937764520e+00   
-4.1015625000e-01   +8.8446720654e+00   
-4.0820312500e-01   +8.8912749677e+00   
-4.0625000000e-01   +8.9337563716e+00   
-4.0429687500e-01   +8.9722858743e+00   
-4.0234375000e-01   +9.0070311679e+00   
-4.0039062500e-01   +9.0381577737e+00   
-3.9843750000e-01   +9.0658287997e+00   
-3.9648437500e-01   +9.0902047188e+00   
-3.9453125000e-01   +9.1114431683e+00   
-3.9257812500e-01   +9.1296987693e+00   
-3.9062500000e-01   +9.1451229648e+00   
-3.8867187500e-01   +9.1578638762e+00   
-3.8671875000e-01   +9.1680661767e+00   
-3.8476562500e-01   +9.1758709809e+00   
-3.8281250000e-01   +9.1814157511e+00   
-3.8085937500e-01   +9.1848342166e+00   
-3.7890625000e-01   +9.1862563086e+00   
-3.7695312500e-01   +9.1858081071e+00   
-3.7500000000e-01   +9.1836118009e+00   
-3.7304687500e-01   +9.1797856591e+00   
-3.7109375000e-01   +9.1744440134e+00   
-3.6914062500e-01   +9.1676972512e+00   
-3.6718750000e-01   +9.1596518181e+00   
-3.6523437500e-01   +9.1504102291e+00   
-3.6328125000e-01   +9.1400710885e+00   
-3.6132812500e-01   +9.1287291177e+00   
-3.5937500000e-01   +9.1164751902e+00   
-3.5742187500e-01   +9.1033963726e+00   
-3.5546875000e-01   +9.0895759726e+00   
-3.5351562500e-01   +9.0750935921e+00   
