# time                 amplitude              uBulk                  uAxis                  tauWall                
+0.0000000000000e+00   -4.0000000000000e+00   +8.7583503335035e-01   +4.6022238534781e-03   -1.0887558481591e-01   
+1.6730375078289e-03   -3.9999987662995e+00   +8.8179830089070e-01   +1.1299305614290e-02   -1.0895628149800e-01   
+3.3460750156578e-03   -3.9999950651988e+00   +8.8776102449356e-01   +1.7996380405122e-02   -1.0903691097037e-01   
+5.0191125234867e-03   -3.9999888967002e+00   +8.9372320048081e-01   +2.4693444094882e-02   -1.0911747318330e-01   
+6.6921500313155e-03   -3.9999802608074e+00   +8.9968482517469e-01   +3.1390492552486e-02   -1.0919796808709e-01   
+8.3651875391444e-03   -3.9999691575259e+00   +9.0564589489776e-01   +3.8087521646857e-02   -1.0927839563208e-01   
+1.0038225046973e-02   -3.9999555868624e+00   +9.1160640597294e-01   +4.4784527246930e-02   -1.0935875576867e-01   
+1.1711262554802e-02   -3.9999395488253e+00   +9.1756635472349e-01   +5.1481505221657e-02   -1.0943904844729e-01   
+1.3384300062631e-02   -3.9999210434245e+00   +9.2352573747302e-01   +5.8178451440005e-02   -1.0951927361840e-01   
+1.5057337570460e-02   -3.9999000706715e+00   +9.2948455054546e-01   +6.4875361770961e-02   -1.0959943123252e-01   
+1.6730375078289e-02   -3.9998766305792e+00   +9.3544279026513e-01   +7.1572232083535e-02   -1.0967952124021e-01   
+1.8403412586118e-02   -3.9998507231619e+00   +9.4140045295670e-01   +7.8269058246760e-02   -1.0975954359206e-01   
+2.0076450093947e-02   -3.9998223484358e+00   +9.4735753494516e-01   +8.4965836129697e-02   -1.0983949823870e-01   
+2.1749487601775e-02   -3.9997915064183e+00   +9.5331403255589e-01   +9.1662561601437e-02   -1.0991938513082e-01   
+2.3422525109604e-02   -3.9997581971284e+00   +9.5926994211464e-01   +9.8359230531104e-02   -1.0999920421915e-01   
+2.5095562617433e-02   -3.9997224205867e+00   +9.6522525994748e-01   +1.0505583878786e-01   -1.1007895545444e-01   
+2.6768600125262e-02   -3.9996841768153e+00   +9.7117998238089e-01   +1.1175238224089e-01   -1.1015863878750e-01   
+2.8441637633091e-02   -3.9996434658377e+00   +9.7713410574170e-01   +1.1844885675943e-01   -1.1023825416917e-01   
+3.0114675140920e-02   -3.9996002876790e+00   +9.8308762635709e-01   +1.2514525821278e-01   -1.1031780155035e-01   
+3.1787712648749e-02   -3.9995546423660e+00   +9.8904054055464e-01   +1.3184158247024e-01   -1.1039728088197e-01   
+3.3460750156578e-02   -3.9995065299266e+00   +9.9499284466229e-01   +1.3853782540118e-01   -1.1047669211500e-01   
+3.5133787664407e-02   -3.9994559503908e+00   +1.0009445350084e+00   +1.4523398287504e-01   -1.1055603520045e-01   
+3.6806825172235e-02   -3.9994029037895e+00   +1.0068956079216e+00   +1.5193005076127e-01   -1.1063531008939e-01   
+3.8479862680064e-02   -3.9993473901556e+00   +1.0128460597309e+00   +1.5862602492942e-01   -1.1071451673291e-01   
+4.0152900187893e-02   -3.9992894095232e+00   +1.0187958867660e+00   +1.6532190124907e-01   -1.1079365508215e-01   
+4.1825937695722e-02   -3.9992289619283e+00   +1.0247450853566e+00   +1.7201767558986e-01   -1.1087272508830e-01   
+4.3498975203551e-02   -3.9991660474079e+00   +1.0306936518329e+00   +1.7871334382151e-01   -1.1095172670258e-01   
+4.5172012711380e-02   -3.9991006660010e+00   +1.0366415825255e+00   +1.8540890181378e-01   -1.1103065987626e-01   
+4.6845050219209e-02   -3.9990328177479e+00   +1.0425888737656e+00   +1.9210434543653e-01   -1.1110952456066e-01   
+4.8518087727038e-02   -3.9989625026905e+00   +1.0485355218845e+00   +1.9879967055967e-01   -1.1118832070711e-01   
+5.0191125234867e-02   -3.9988897208720e+00   +1.0544815232139e+00   +2.0549487305319e-01   -1.1126704826702e-01   
+5.1864162742695e-02   -3.9988144723374e+00   +1.0604268740862e+00   +2.1218994878714e-01   -1.1134570719183e-01   
+5.3537200250524e-02   -3.9987367571332e+00   +1.0663715708339e+00   +2.1888489363167e-01   -1.1142429743301e-01   
+5.5210237758353e-02   -3.9986565753072e+00   +1.0723156097901e+00   +2.2557970345700e-01   -1.1150281894209e-01   
+5.6883275266182e-02   -3.9985739269090e+00   +1.0782589872881e+00   +2.3227437413343e-01   -1.1158127167062e-01   
+5.8556312774011e-02   -3.9984888119894e+00   +1.0842016996618e+00   +2.3896890153136e-01   -1.1165965557022e-01   
+6.0229350281840e-02   -3.9984012306010e+00   +1.0901437432454e+00   +2.4566328152126e-01   -1.1173797059254e-01   
+6.1902387789669e-02   -3.9983111827979e+00   +1.0960851143736e+00   +2.5235750997371e-01   -1.1181621668926e-01   
+6.3575425297498e-02   -3.9982186686355e+00   +1.1020258093814e+00   +2.5905158275937e-01   -1.1189439381211e-01   
+6.5248462805326e-02   -3.9981236881710e+00   +1.1079658246043e+00   +2.6574549574900e-01   -1.1197250191289e-01   
+6.6921500313155e-02   -3.9980262414629e+00   +1.1139051563782e+00   +2.7243924481345e-01   -1.1205054094340e-01   
+6.8594537820984e-02   -3.9979263285714e+00   +1.1198438010395e+00   +2.7913282582369e-01   -1.1212851085551e-01   
+7.0267575328813e-02   -3.9978239495580e+00   +1.1257817549248e+00   +2.8582623465078e-01   -1.1220641160111e-01   
+7.1940612836642e-02   -3.9977191044859e+00   +1.1317190143714e+00   +2.9251946716588e-01   -1.1228424313217e-01   
+7.3613650344471e-02   -3.9976117934199e+00   +1.1376555757168e+00   +2.9921251924028e-01   -1.1236200540066e-01   
+7.5286687852300e-02   -3.9975020164260e+00   +1.1435914352991e+00   +3.0590538674537e-01   -1.1243969835862e-01   
+7.6959725360129e-02   -3.9973897735721e+00   +1.1495265894568e+00   +3.1259806555264e-01   -1.1251732195813e-01   
+7.8632762867958e-02   -3.9972750649273e+00   +1.1554610345287e+00   +3.1929055153372e-01   -1.1259487615130e-01   
+8.0305800375786e-02   -3.9971578905624e+00   +1.1613947668542e+00   +3.2598284056035e-01   -1.1267236089029e-01   
+8.1978837883615e-02   -3.9970382505496e+00   +1.1673277827730e+00   +3.3267492850438e-01   -1.1274977612731e-01   
+8.3651875391444e-02   -3.9969161449629e+00   +1.1732600786254e+00   +3.3936681123780e-01   -1.1282712181460e-01   
+8.5324912899273e-02   -3.9967915738775e+00   +1.1791916507521e+00   +3.4605848463272e-01   -1.1290439790446e-01   
+8.6997950407102e-02   -3.9966645373702e+00   +1.1851224954941e+00   +3.5274994456138e-01   -1.1298160434921e-01   
+8.8670987914931e-02   -3.9965350355194e+00   +1.1910526091930e+00   +3.5944118689615e-01   -1.1305874110123e-01   
+9.0344025422760e-02   -3.9964030684050e+00   +1.1969819881908e+00   +3.6613220750953e-01   -1.1313580811294e-01   
+9.2017062930589e-02   -3.9962686361084e+00   +1.2029106288300e+00   +3.7282300227418e-01   -1.1321280533679e-01   
+9.3690100438418e-02   -3.9961317387125e+00   +1.2088385274534e+00   +3.7951356706287e-01   -1.1328973272530e-01   
+9.5363137946246e-02   -3.9959923763018e+00   +1.2147656804045e+00   +3.8620389774851e-01   -1.1336659023101e-01   
+9.7036175454075e-02   -3.9958505489622e+00   +1.2206920840271e+00   +3.9289399020420e-01   -1.1344337780652e-01   
+9.8709212961904e-02   -3.9957062567812e+00   +1.2266177346655e+00   +3.9958384030312e-01   -1.1352009540444e-01   
+1.0038225046973e-01   -3.9955594998479e+00   +1.2325426286645e+00   +4.0627344391866e-01   -1.1359674297747e-01   
+1.0205528797756e-01   -3.9954102782527e+00   +1.2384667623692e+00   +4.1296279692433e-01   -1.1367332047832e-01   
+1.0372832548539e-01   -3.9952585920877e+00   +1.2443901321254e+00   +4.1965189519379e-01   -1.1374982785976e-01   
+1.0540136299322e-01   -3.9951044414465e+00   +1.2503127342793e+00   +4.2634073460088e-01   -1.1382626507458e-01   
+1.0707440050105e-01   -3.9949478264241e+00   +1.2562345651774e+00   +4.3302931101959e-01   -1.1390263207565e-01   
+1.0874743800888e-01   -3.9947887471172e+00   +1.2621556211670e+00   +4.3971762032406e-01   -1.1397892881585e-01   
